Wavelength,n,k
544,3.89711,3.51273
546,3.90156,3.50924
548,3.90556,3.50582
550,3.90906,3.50253
552,3.91213,3.49939
554,3.91481,3.4964
556,3.91714,3.49359
558,3.91914,3.49097
560,3.92077,3.48859
562,3.92207,3.48647
564,3.92312,3.48459
566,3.92394,3.48295
568,3.92454,3.48154
570,3.9249,3.48047
572,3.92509,3.47967
574,3.92513,3.47911
576,3.92506,3.4788
578,3.92486,3.47882
580,3.92457,3.4791
582,3.92423,3.47962
584,3.92384,3.48036
586,3.9234,3.48142
588,3.92296,3.4827
590,3.92252,3.48418
592,3.92209,3.48587
594,3.9217,3.48783
596,3.92134,3.48994
598,3.92102,3.49222
600,3.92078,3.49474
602,3.92061,3.49739
604,3.92049,3.50016
606,3.92047,3.50311
608,3.92055,3.50618
610,3.9207,3.50934
612,3.92097,3.51263
614,3.92134,3.51602
616,3.92178,3.51945
618,3.92235,3.52299
620,3.92303,3.52657
622,3.92378,3.5302
624,3.92467,3.53387
626,3.92566,3.53756
628,3.92671,3.54127
630,3.92792,3.54498
632,3.92918,3.5487
634,3.93054,3.55241
636,3.93201,3.55609
638,3.93353,3.55977
640,3.93517,3.56339
642,3.93688,3.56698
644,3.93864,3.57053
646,3.9405,3.57401
648,3.94239,3.57745
650,3.94436,3.58081
652,3.94637,3.58411
654,3.94843,3.58735
656,3.95054,3.59048
658,3.95266,3.59358
660,3.95483,3.59652
662,3.95702,3.59943
664,3.95922,3.60223
666,3.96143,3.60494
668,3.96366,3.60758
670,3.96587,3.61008
672,3.96808,3.61253
674,3.97027,3.61483
676,3.97246,3.61709
678,3.9746,3.61919
680,3.97673,3.62124
682,3.97881,3.62316
684,3.98085,3.625
686,3.98285,3.62674
688,3.98479,3.62838
690,3.98668,3.62993
692,3.9885,3.63138
694,3.99027,3.63275
696,3.99194,3.634
698,3.99356,3.6352
700,3.99506,3.63628
702,3.99653,3.63731
704,3.99785,3.63822
706,3.99913,3.6391
708,4.00026,3.63985
710,4.00135,3.64058
712,4.00227,3.6412
714,4.00314,3.64179
716,4.00385,3.64228
718,4.00449,3.64274
720,4.00498,3.64313
722,4.00538,3.64348
724,4.00563,3.64377
726,4.00577,3.64401
728,4.00579,3.64422
730,4.00567,3.64439
732,4.00545,3.64453
734,4.00504,3.64463
736,4.00459,3.64472
738,4.0039,3.64476
740,4.0032,3.64481
742,4.00222,3.64482
744,4.00122,3.64484
746,4,3.64484
748,3.9987,3.64485
750,3.99725,3.64485
752,3.99564,3.64486
754,3.99395,3.64487
756,3.99204,3.6449
758,3.99012,3.64493
760,3.9879,3.645
762,3.98567,3.64507
764,3.98323,3.64519
766,3.98068,3.64532
768,3.97803,3.64548
770,3.97517,3.6457
772,3.9723,3.64592
774,3.96915,3.64623
776,3.96597,3.64655
778,3.96264,3.64693
780,3.95915,3.64737
782,3.95564,3.64781
784,3.95184,3.64839
786,3.94805,3.64896
788,3.94407,3.64963
790,3.93997,3.65037
792,3.93585,3.65112
794,3.93146,3.65203
796,3.92707,3.65294
798,3.92252,3.65395
800,3.91785,3.65505
802,3.91317,3.65615
804,3.90823,3.65745
806,3.90328,3.65876
808,3.89823,3.66015
810,3.89301,3.66168
812,3.8878,3.6632
814,3.88239,3.66491
816,3.87692,3.66668
818,3.87143,3.66847
820,3.86572,3.67049
822,3.86001,3.67251
824,3.85421,3.67463
826,3.84827,3.67692
828,3.84233,3.6792
830,3.83625,3.68167
832,3.8301,3.68423
834,3.82395,3.68679
836,3.81762,3.6896
838,3.81127,3.69245
840,3.80491,3.69532
842,3.79837,3.69847
844,3.79183,3.70162
846,3.78526,3.70483
848,3.77855,3.70829
850,3.77184,3.71174
852,3.76509,3.7153
854,3.75823,3.71907
856,3.75138,3.72284
858,3.74447,3.72673
860,3.73747,3.73083
862,3.73048,3.73493
864,3.72344,3.73916
866,3.71633,3.74358
868,3.70922,3.748
870,3.70206,3.75256
872,3.69485,3.75731
874,3.68763,3.76206
876,3.68039,3.76693
878,3.67309,3.77202
880,3.6658,3.77711
882,3.65849,3.78229
884,3.65113,3.78772
886,3.64377,3.79315
888,3.6364,3.79861
890,3.62899,3.80438
892,3.62158,3.81015
894,3.61417,3.81592
896,3.60673,3.822
898,3.59929,3.82811
900,3.59185,3.83423
902,3.5844,3.84056
904,3.57695,3.847
906,3.56951,3.85344
908,3.56206,3.86002
910,3.55461,3.8668
912,3.54716,3.87359
914,3.53971,3.8804
916,3.53228,3.88752
918,3.52485,3.89464
920,3.51743,3.90176
922,3.51002,3.90911
924,3.50263,3.91655
926,3.49524,3.924
928,3.48786,3.93153
930,3.48053,3.93931
932,3.47319,3.94708
934,3.46585,3.95485
936,3.45857,3.96288
938,3.4513,3.97096
940,3.44403,3.97905
942,3.43679,3.98722
944,3.42961,3.99562
946,3.42243,4.00402
948,3.41525,4.01243
950,3.40813,4.02103
952,3.40105,4.02973
954,3.39397,4.03843
956,3.38689,4.04715
958,3.37992,4.05614
960,3.37295,4.06514
962,3.36598,4.07413
964,3.35906,4.08322
966,3.35222,4.0925
968,3.34538,4.10178
970,3.33853,4.11105
972,3.33177,4.12049
974,3.32507,4.13004
976,3.31837,4.13959
978,3.31167,4.14914
980,3.30508,4.15889
982,3.29853,4.16871
984,3.29197,4.17852
986,3.28542,4.18833
988,3.27901,4.19836
990,3.27262,4.20843
992,3.26623,4.21849
994,3.25985,4.22855
996,3.25362,4.23884
998,3.24741,4.24913
1000,3.24119,4.25943
1002,3.23497,4.26973
1004,3.22893,4.28023
1006,3.22289,4.29075
1008,3.21685,4.30127
1010,3.21082,4.31179
1012,3.20494,4.3225
1014,3.19909,4.33323
1016,3.19324,4.34396
1018,3.18738,4.3547
1020,3.18168,4.36558
1022,3.17602,4.37651
1024,3.17037,4.38743
1026,3.16471,4.39836
1028,3.15917,4.40939
1030,3.15371,4.4205
1032,3.14825,4.43162
1034,3.1428,4.44273
1036,3.1374,4.45388
1038,3.13214,4.46516
1040,3.12689,4.47644
1042,3.12164,4.48772
1044,3.11639,4.499
1046,3.11133,4.51043
1048,3.10628,4.52186
1050,3.10124,4.5333
1052,3.0962,4.54473
1054,3.09126,4.55624
1056,3.08642,4.56782
1058,3.08159,4.57939
1060,3.07675,4.59097
1062,3.07192,4.60255
1064,3.0673,4.61425
1066,3.06268,4.62595
1068,3.05805,4.63766
1070,3.05343,4.64936
1072,3.0489,4.66112
1074,3.04449,4.67293
1076,3.04008,4.68475
1078,3.03567,4.69656
1080,3.03126,4.70838
1082,3.02703,4.72028
1084,3.02282,4.73219
1086,3.01862,4.74411
1088,3.01442,4.75602
1090,3.01024,4.76795
1092,3.00625,4.77995
1094,3.00226,4.79196
1096,2.99828,4.80396
1098,2.99429,4.81596
1100,2.99036,4.82799
1102,2.98658,4.84007
1104,2.9828,4.85215
1106,2.97902,4.86423
1108,2.97524,4.87631
1110,2.97154,4.88841
1112,2.96796,4.90055
1114,2.96439,4.91269
1116,2.96081,4.92483
1118,2.95724,4.93697
1120,2.95374,4.94913
1122,2.95037,4.96133
1124,2.947,4.97352
1126,2.94363,4.98571
1128,2.94026,4.9979
1130,2.93695,5.01011
1132,2.93378,5.02234
1134,2.9306,5.03458
1136,2.92743,5.04681
1138,2.92425,5.05904
1140,2.92111,5.07128
1142,2.91812,5.08354
1144,2.91514,5.09581
1146,2.91216,5.10807
1148,2.90917,5.12033
1150,2.90619,5.1326
1152,2.90338,5.14488
1154,2.90058,5.15716
1156,2.89779,5.16945
1158,2.895,5.18173
1160,2.8922,5.19402
1162,2.8895,5.20631
1164,2.88689,5.2186
1166,2.88428,5.23089
1168,2.88166,5.24319
1170,2.87905,5.25548
1172,2.87645,5.26778
1174,2.87401,5.28007
1176,2.87157,5.29237
